"id","Survey","Race","Gender","Education","Age_Group","Region","quota_cohort","LikelyVote","PartyAffiliate","survey_weight","Question1_Version","Experiment1_Question","Question2_Version","Experiment2_Question","EconomicConditions","EconomicExpect","CoronaWorry","CoronaChange","CoronaWork"
1,"Political Survey","Black or African American","Male","Some College or Associate","65+","South","South::65+::Male","Definitely will vote","Democratic Party",1.0534277757871,"Version B","100","Version B","C","Only Fair","Get worse",NA,NA,NA
2,"Coronavirus Survey","White","Female","HS or Less","65+","Northeast","Northeast::65+::Female","Definitely will not vote","Independent or another party",0.913669251303991,"Version B","20","Version B","B","Good","Stay about the same","Very worried","Yes, changing routines or plans","Not changed"
3,"Coronavirus Survey","White","Female","College Grad","45-64","Midwest","Midwest::45-64::Female","Definitely will vote","Democratic Party",0.564637303417824,"Version B","1000","Version A","C","Poor","Get worse","Very worried","Yes, changing routines or plans","Changed, but now back to normal"
4,"Political Survey","White","Male","HS or Less","65+","Northeast","Northeast::65+::Male","Definitely will vote","Republican Party",0.825642015738228,"Version B","1000","Version A","A","Poor","Get worse",NA,NA,NA
5,"Political Survey","White","Male","College Grad","45-64","Northeast","Northeast::45-64::Male","Definitely will vote","Republican Party",0.606758596269067,"Version A","100","Version A","A","Poor","Improve",NA,NA,NA
6,"Coronavirus Survey","White","Male","HS or Less","45-64","South","South::45-64::Male","Definitely will vote","Republican Party",1.16207996772435,"Version A","100","Version B","B","Good","Improve","Somewhat worried","Yes, changing routines or plans","Not changed"
7,"Coronavirus Survey","White","Male","HS or Less","45-64","South","South::45-64::Male","Definitely will vote","Republican Party",1.16207996772435,"Version A","100","Version B","B","Good","Improve","Somewhat worried","Yes, changing routines or plans","Not changed"
8,"Political Survey","White","Female","HS or Less","45-64","West","West::45-64::Female","Definitely will vote","Democratic Party",1.02854507353346,"Version B","100","Version A","A","Good","Don't know",NA,NA,NA
9,"Political Survey","Other","Female","Some College or Associate","45-64","West","West::45-64::Female","Definitely will vote","Democratic Party",1.01195902132169,"Version B","1000","Version B","C","Poor","Get worse",NA,NA,NA
10,"Coronavirus Survey","White","Female","HS or Less","65+","West","West::65+::Female","Definitely will vote","Democratic Party",1.07007412414965,"Version A","10","Version A","B","Poor","Get worse","Not too worried","Yes, changing routines or plans","Not changed"
11,"Political Survey","White","Female","Some College or Associate","35-44","South","South::35-44::Female","Definitely will vote","Independent or another party",0.821751322763416,"Version B","1000000","Version A","B","Only Fair","Get worse",NA,NA,NA
12,"Coronavirus Survey","White","Female","HS or Less","35-44","Midwest","Midwest::35-44::Female","Definitely will vote","Independent or another party",0.95416727079337,"Version A","100000","Version B","C","(Vol. DK/Refuse)","Stay about the same","Somewhat worried","No, not changing routines or plans","Not changed"
13,"Coronavirus Survey","White","Male","Some College or Associate","45-64","West","West::45-64::Male","Definitely will vote","Democratic Party",0.862382516348869,"Version B","1000","Version B","C","Only Fair","Get worse","Not too worried","Yes, changing routines or plans","Other change"
14,"Political Survey","White","Female","HS or Less","45-64","Northeast","Northeast::45-64::Female","Definitely will vote","Democratic Party",0.823626259055456,"Version A","100","Version B","C","Poor","Don't know",NA,NA,NA
15,"Political Survey","White","Male","College Grad","45-64","Midwest","Midwest::45-64::Male","Definitely will vote","Independent or another party",0.747325603852101,"Version B","1000000000","Version B","C","Poor","Get worse",NA,NA,NA
16,"Coronavirus Survey","White","Female","HS or Less","45-64","Northeast","Northeast::45-64::Female","Likely will not vote","Democratic Party",0.823626259055456,"Version B","1000","Version B","C","Poor","Get worse","Somewhat worried","Yes, changing routines or plans","Not changed"
17,"Political Survey","White","Female","College Grad","18-34","Midwest","Midwest::18-34::Female","Likely will vote","Democratic Party",0.545694503201539,"Version B","200","Version B","C","Only Fair","Stay about the same",NA,NA,NA
18,"Political Survey","Black or African American","Female","HS or Less","65+","South","South::65+::Female","Definitely will vote","Democratic Party",1.09257594194658,"Version B","100","Version A","C","Poor","Get worse",NA,NA,NA
19,"Political Survey","White","Female","HS or Less","45-64","Northeast","Northeast::45-64::Female","Definitely will vote","Democratic Party",0.823626259055456,"Version B","100","Version A","B","Only Fair","Get worse",NA,NA,NA
20,"Coronavirus Survey","White","Female","HS or Less","35-44","South","South::35-44::Female","Definitely will vote","Republican Party",1.02270682558252,"Version B","100","Version A","C","Only Fair","Get worse","Somewhat worried","Yes, changing routines or plans","Other change"
21,"Political Survey","White","Female","HS or Less","45-64","West","West::45-64::Female","Likely will vote","Democratic Party",1.02854507353346,"Version A","100","Version A","B","Excellent","Stay about the same",NA,NA,NA
22,"Political Survey","Black or African American","Female","Some College or Associate","65+","South","South::65+::Female","Definitely will vote","Democratic Party",0.877891594204134,"Version B","200","Version B","C","Only Fair","Get worse",NA,NA,NA
23,"Coronavirus Survey",NA,"Female","HS or Less","65+","South","South::65+::Female","Definitely will vote","Democratic Party",1.17594005208902,"Version A","100","Version A","A","Only Fair","Get worse","Not too worried","Yes, changing routines or plans","Other change"
24,"Coronavirus Survey","White","Female","Some College or Associate","18-34","West","West::18-34::Female","Definitely will vote","Democratic Party",0.828730304826455,"Version A","1000","Version B","C","Only Fair","Stay about the same","Somewhat worried","Yes, changing routines or plans","Laid off"
25,"Political Survey","Black or African American","Male","HS or Less","35-44","Midwest","Midwest::35-44::Male","Definitely will vote","Democratic Party",1.07322367615367,"Version A","100","Version B","C","Poor","Get worse",NA,NA,NA
26,"Political Survey","White","Female","HS or Less","65+","South","South::65+::Female","Definitely will vote","Republican Party",1.07167181532095,"Version B","10000","Version A","B","Only Fair","Improve",NA,NA,NA
27,"Political Survey","Black or African American","Male","HS or Less","45-64","South","South::45-64::Male","Definitely will vote","Democratic Party",1.18474760388601,"Version A","1000","Version A","A","Poor","Stay about the same",NA,NA,NA
28,"Coronavirus Survey",NA,"Male","HS or Less","35-44","Midwest","Midwest::35-44::Male","Definitely will vote","Republican Party",1.15511119839487,"Version A","100","Version A","B","Only Fair","Stay about the same","Not too worried","No, not changing routines or plans","Not changed"
29,"Coronavirus Survey","White","Female","College Grad","35-44","South","South::35-44::Female","Definitely will not vote","Independent or another party",0.634375215678985,"Version A","100","Version A","A","Good","Stay about the same","Not worried at all","No, not changing routines or plans","Working from home"
30,"Political Survey","Black or African American","Female","HS or Less","45-64","South","South::45-64::Female","Definitely will vote","Democratic Party",1.03114285806736,"Version B","140","Version A","B","Only Fair","Get worse",NA,NA,NA
31,"Political Survey","White","Female","Some College or Associate","35-44","Midwest","Midwest::35-44::Female","Definitely will vote","Republican Party",0.766679362353337,NA,NA,"Version A","A","Poor","Improve",NA,NA,NA
32,"Coronavirus Survey","White","Male","College Grad","35-44","West","West::35-44::Male","Definitely will not vote","Independent or another party",0.776652924335095,"Version B","1000","Version B","C","Only Fair","Get worse","Somewhat worried","Yes, changing routines or plans","Working from home"
33,"Coronavirus Survey","White","Male","HS or Less","45-64","Midwest","Midwest::45-64::Male","Likely will not vote","Democratic Party",1.20479958406647,"Version B","10","Version B","A","Poor","Get worse","Somewhat worried","No, not changing routines or plans","Not changed"
34,"Political Survey","White","Male","College Grad","45-64","Northeast","Northeast::45-64::Male","Definitely will vote","Republican Party",0.606758596269067,"Version B","10000","Version B","B","Excellent","Improve",NA,NA,NA
35,"Coronavirus Survey","White","Female","Post-Grad","65+","South","South::65+::Female","Likely will vote","Independent or another party",0.807894265313555,"Version B","1000","Version B","A","Good","Stay about the same","Somewhat worried","Yes, changing routines or plans","Not changed"
36,"Coronavirus Survey","White","Female","HS or Less","45-64","West","West::45-64::Female","Definitely will vote","Independent or another party",1.02854507353346,"Version A","100","Version B","C","Poor","Get worse","Very worried","Yes, changing routines or plans","Not changed"
37,"Coronavirus Survey","White","Female","HS or Less","65+","South","South::65+::Female","Definitely will vote","Democratic Party",1.07167181532095,"Version A","100","Version A","A","Poor","Get worse","Very worried","Yes, changing routines or plans","Not changed"
38,"Political Survey","Hispanic","Male","College Grad","35-44","West","West::35-44::Male","Definitely will vote","Republican Party",1.41083118650877,"Version A","100","Version A","C","Excellent","Improve",NA,NA,NA
39,"Political Survey","White","Female","College Grad","65+","South","South::65+::Female","Definitely will vote","Independent or another party",0.66474772825936,"Version A","100","Version B","C","Good","Get worse",NA,NA,NA
40,"Coronavirus Survey","White","Male","Some College or Associate","65+","Northeast","Northeast::65+::Male","Definitely will vote","Independent or another party",0.663408517074768,"Version B","1000000000","Version B","B","Only Fair","Stay about the same","Somewhat worried","Yes, changing routines or plans","Hours cut back"
41,"Coronavirus Survey","White","Male","Some College or Associate","45-64","South","South::45-64::Male","Definitely will vote","Democratic Party",0.933738513078202,"Version B","10000","Version B","A","Good","Get worse","Somewhat worried","Yes, changing routines or plans","Working from home"
42,"Political Survey","Black or African American","Male","HS or Less","45-64","South","South::45-64::Male","Likely will vote","Independent or another party",1.18474760388601,"Version A","100",NA,NA,"Only Fair","Don't know",NA,NA,NA
43,"Coronavirus Survey","White","Male","HS or Less","45-64","West","West::45-64::Male","Definitely will vote","Independent or another party",1.0732741905022,"Version B","1000000","Version B","C","Poor","Get worse","Very worried","Yes, changing routines or plans","Other change"
44,"Political Survey","White","Female","College Grad","18-34","South","South::18-34::Female","Likely will vote","Republican Party",0.668176097339066,"Version A","100","Version A","C","Good","Improve",NA,NA,NA
45,"Political Survey","White","Female","Some College or Associate","45-64","Northeast","Northeast::45-64::Female","Definitely will vote","Democratic Party",0.661788843988599,"Version A","100","Version B","C","Poor","Get worse",NA,NA,NA
46,"Political Survey","White","Male","Some College or Associate","45-64","Midwest","Midwest::45-64::Male","Definitely will not vote","Democratic Party",0.968063991660096,"Version A","100","Version B","C","Good","Get worse",NA,NA,NA
47,"Political Survey","White","Male","College Grad","45-64","West","West::45-64::Male","Definitely will vote","Republican Party",0.665741666185432,"Version B","1000","Version A","A","Only Fair","Improve",NA,NA,NA
48,"Coronavirus Survey","Black or African American","Female","HS or Less","65+","South","South::65+::Female","Likely will vote","Democratic Party",1.09257594194658,"Version B","1000","Version A","C","Poor","Stay about the same","Somewhat worried","Yes, changing routines or plans","Not changed"
